District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9
Lake Stevens,Bainbridge,Olympia,,,,,,
Mariner,Bellevue ,South Kitsap,,,,,,
Monroe,,Stadium,,,,,,
Mount Vernon,,Timberline,,,,,,
Snohomish,,Yelm,,,,,,
,,Federal Way,,,,,,
,,Jefferson,,,,,,
,,Kent-Meridian,,,,,,
,,Kentlake,,,,,,
,,Kentridge,,,,,,
,,Kentwood,,,,,,
,,Mount Rainier,,,,,,
,,Tahoma,,,,,,
,,Todd Beamer,,,,,,
,,Curtis,,,,,,
,,Emerald Ridge,,,,,,
,,Graham-Kapowsin,,,,,,
,,Puyallup,,,,,,
,,Rogers,,,,,,
,,Spanaway Lake,,,,,,
,,Decatur,,,,,,
,,Bethel,,,,,,
