YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,WHEELS_OFF,WHEELS_ON,CRS_ARR_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N66814,1574,14747,1474703,30559,SEA,"Seattle, WA",12264,1226402,30852,IAD,"Washington, DC",VA,2230,2226,-4,2251,600,619,603,0,,0,289,277,249,1,2306,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N19141,1522,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,1140,1134,-6,1204,1919,1951,1927,0,,0,311,293,255,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N428UA,1508,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,530,519,-11,535,841,908,848,0,,0,158,149,126,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N402UA,1407,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,600,552,-8,605,1334,1408,1341,0,,0,308,289,269,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N16234,1195,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,2330,2349,19,1,517,526,523,0,,0,236,214,196,1,1721,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N827UA,816,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1350,1429,39,1505,1648,1604,1655,0,,0,134,146,103,1,679,0,0,51,0,0,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73251,814,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,535,532,-3,547,732,750,737,0,,0,135,125,105,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N430UA,812,11884,1188402,31884,GEG,"Spokane, WA",11292,1129202,30325,DEN,"Denver, CO",CO,530,524,-6,547,833,849,841,0,,0,139,137,106,1,836,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N18243,759,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1220,1250,30,1315,1454,1432,1503,0,,0,132,133,99,1,679,0,0,31,0,0,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N425UA,698,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,935,934,-1,948,1148,1148,1154,0,,0,133,140,120,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37413,695,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1545,1547,2,1604,1911,1923,1919,0,,0,158,152,127,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N77538,675,11292,1129202,30325,DEN,"Denver, CO",11884,1188402,31884,GEG,"Spokane, WA",WA,1118,1145,27,1158,1253,1239,1255,0,,0,141,130,115,1,836,16,0,0,0,0,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N79402,619,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1829,1902,33,1916,2133,2121,2144,0,,0,292,282,257,1,1874,23,0,0,0,0,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73251,618,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,932,926,-6,1019,1200,1153,1205,0,,0,141,159,101,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37413,617,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1155,1211,16,1227,1446,1450,1452,0,,0,295,281,259,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73251,587,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1708,1703,-5,1735,1918,1923,1924,0,,0,135,141,103,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N19141,537,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,720,719,-1,733,1011,1038,1020,0,,0,378,361,338,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N33203,537,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,1420,1410,-10,1426,2019,2036,2029,0,,0,256,259,233,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N470UA,516,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1319,1312,-7,1332,1633,1656,1644,0,,0,157,152,121,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N81449,467,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1755,1752,-3,1805,1940,1958,1945,0,,0,183,173,155,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N26226,459,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,645,642,-3,657,1216,1244,1226,0,,0,239,224,199,1,1721,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37456,447,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1601,1604,3,1620,1808,1813,1814,0,,0,132,130,108,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N464UA,445,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1925,1921,-4,1936,2109,2128,2121,0,,0,183,180,153,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N470UA,438,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,940,937,-3,949,1216,1230,1224,0,,0,290,287,267,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N26208,419,14747,1474703,30559,SEA,"Seattle, WA",12264,1226402,30852,IAD,"Washington, DC",VA,825,830,5,851,1605,1621,1609,0,,0,296,279,254,1,2306,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N16217,389,12264,1226402,30852,IAD,"Washington, DC",14747,1474703,30559,SEA,"Seattle, WA",WA,845,837,-8,851,1120,1138,1144,0,,0,353,367,329,1,2306,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N818UA,351,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,2300,2349,49,16,145,110,149,0,,0,130,120,89,1,679,21,0,0,0,18,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N33203,339,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1124,1133,9,1148,1317,1326,1327,0,,0,182,174,149,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73276,331,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1035,1029,-6,1045,1349,1413,1358,0,,0,158,149,124,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N66814,326,12264,1226402,30852,IAD,"Washington, DC",14747,1474703,30559,SEA,"Seattle, WA",WA,1815,1812,-3,1824,2048,2111,2054,0,,0,356,342,324,1,2306,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N894UA,294,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,700,707,7,722,900,913,911,0,,0,133,124,98,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37252,278,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,1113,1136,23,1153,1706,1710,1725,0,,0,237,229,193,1,1721,0,0,6,0,9,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N16234,262,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,1935,1948,13,2012,2223,2220,2227,0,,0,285,279,251,1,1721,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73276,260,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,745,740,-5,753,930,944,940,0,,0,179,180,157,1,1024,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N62884,251,11292,1129202,30325,DEN,"Denver, CO",11884,1188402,31884,GEG,"Spokane, WA",WA,2210,2209,-1,2222,2319,2333,2324,0,,0,143,135,117,1,836,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N33264,241,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,1316,1321,5,1340,1541,1551,1551,0,,0,275,270,241,1,1721,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37456,214,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1915,1916,1,1951,2137,2130,2142,0,,0,135,146,106,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N39423,213,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1125,1119,-6,1245,1429,1339,1435,0,,0,134,196,104,1,679,0,0,56,0,0,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N827UA,209,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1040,1038,-2,1051,1234,1251,1244,0,,0,131,126,103,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N837UA,2388,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1527,1517,-10,1534,1706,1741,1714,0,,0,134,117,92,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N26208,2161,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1754,1749,-5,1805,1957,2006,2002,0,,0,132,133,112,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N73251,2019,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,2040,2027,-13,2044,2229,2258,2234,0,,0,138,127,105,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N75433,1945,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,700,648,-12,707,1243,1319,1247,0,,0,259,239,216,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N402UA,1932,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,1400,1359,-1,1412,1657,1715,1705,0,,0,375,366,345,1,2402,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N24224,1867,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,1244,1235,-9,1254,1827,1900,1831,0,,0,256,236,213,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N14219,1846,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,745,738,-7,750,1000,1022,1006,0,,0,277,268,250,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N35271,1771,11884,1188402,31884,GEG,"Spokane, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1330,1317,-13,1338,1626,1643,1635,0,,0,133,138,108,1,836,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37420,1733,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1729,1723,-6,1736,2004,2025,2010,0,,0,296,287,268,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N48127,1696,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,1830,1829,-1,1855,2140,2149,2145,0,,0,379,376,345,1,2402,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N48127,1695,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,2254,2250,-4,2305,630,700,639,0,,0,306,289,265,1,2402,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N427UA,1677,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,630,637,7,707,857,842,907,0,,0,132,150,110,1,679,7,0,18,0,0,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37420,1579,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,859,857,-2,916,1508,1518,1512,0,,0,259,255,232,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N62884,1574,14747,1474703,30559,SEA,"Seattle, WA",12264,1226402,30852,IAD,"Washington, DC",VA,2230,2220,-10,2234,532,619,535,0,,0,289,255,238,1,2306,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N58101,1522,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,1140,1137,-3,1153,1915,1951,1956,0,,0,311,319,262,1,2402,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N480UA,1508,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,530,527,-3,546,857,908,901,0,,0,158,154,131,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N444UA,1407,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,600,555,-5,610,1339,1408,1344,0,,0,308,289,269,1,2402,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N79279,1195,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,2330,2319,-11,2334,447,526,450,0,,0,236,211,193,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N36272,816,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1350,1359,9,1416,1546,1605,1550,0,,0,135,111,90,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N12238,814,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,535,528,-7,543,720,750,726,0,,0,135,118,97,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N62894,812,11884,1188402,31884,GEG,"Spokane, WA",11292,1129202,30325,DEN,"Denver, CO",CO,530,527,-3,549,832,850,837,0,,0,140,130,103,1,836,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N837UA,759,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1225,1220,-5,1239,1434,1436,1439,0,,0,131,139,115,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N430UA,738,11292,1129202,30325,DEN,"Denver, CO",11884,1188402,31884,GEG,"Spokane, WA",WA,1857,1849,-8,1907,2006,2019,2009,0,,0,142,140,119,1,836,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N427UA,698,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,935,949,14,1005,1133,1148,1144,0,,0,133,115,88,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N69839,695,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1545,1541,-4,1602,1905,1923,1919,0,,0,158,158,123,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N35271,675,11292,1129202,30325,DEN,"Denver, CO",11884,1188402,31884,GEG,"Spokane, WA",WA,1118,1117,-1,1134,1234,1239,1238,0,,0,141,141,120,1,836,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N32404,619,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1829,1841,12,1901,2129,2121,2135,0,,0,292,294,268,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N12238,618,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,932,926,-6,949,1136,1153,1144,0,,0,141,138,107,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N69839,617,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1155,1149,-6,1220,1455,1450,1501,0,,0,295,312,275,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N12238,587,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1708,1659,-9,1713,1849,1923,1853,0,,0,135,114,96,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N58101,537,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,720,730,10,748,1043,1038,1056,0,,0,378,386,355,1,2402,10,0,8,0,0,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37274,537,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,1420,1421,1,1435,2020,2036,2025,0,,0,256,244,225,1,1874,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N422UA,516,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1319,1329,10,1348,1655,1656,1658,0,,0,157,149,127,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N39423,467,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1755,1749,-6,1807,1945,1958,1955,0,,0,183,186,158,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N77258,459,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,645,640,-5,654,1215,1244,1229,0,,0,239,229,201,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N38443,447,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1601,1602,1,1621,1815,1813,1823,0,,0,132,141,114,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N428UA,445,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1925,1919,-6,1930,2109,2128,2119,0,,0,183,180,159,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N422UA,438,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,940,958,18,1011,1239,1230,1249,0,,0,290,291,268,1,1874,10,0,1,0,8,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N76514,419,14747,1474703,30559,SEA,"Seattle, WA",12264,1226402,30852,IAD,"Washington, DC",VA,825,817,-8,850,1604,1621,1607,0,,0,296,290,254,1,2306,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N24224,389,12264,1226402,30852,IAD,"Washington, DC",14747,1474703,30559,SEA,"Seattle, WA",WA,845,844,-1,901,1126,1138,1137,0,,0,353,353,325,1,2306,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N894UA,351,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,2300,2255,-5,2321,103,110,107,0,,0,130,132,102,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37274,339,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,1124,1123,-1,1136,1309,1326,1319,0,,0,182,176,153,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37277,331,14747,1474703,30559,SEA,"Seattle, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1035,1031,-4,1051,1356,1413,1403,0,,0,158,152,125,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N62884,326,12264,1226402,30852,IAD,"Washington, DC",14747,1474703,30559,SEA,"Seattle, WA",WA,1815,1801,-14,1818,2044,2111,2052,0,,0,356,351,326,1,2306,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N801UA,294,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,700,656,-4,715,848,913,852,0,,0,133,116,93,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N14219,278,14747,1474703,30559,SEA,"Seattle, WA",13930,1393006,30977,ORD,"Chicago, IL",IL,1113,1105,-8,1123,1640,1710,1647,0,,0,237,222,197,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N79279,262,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,1935,1934,-1,2001,2213,2220,2221,0,,0,285,287,252,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N37277,260,11292,1129202,30325,DEN,"Denver, CO",14747,1474703,30559,SEA,"Seattle, WA",WA,745,739,-6,751,920,944,927,0,,0,179,168,149,1,1024,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N26226,241,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,1316,1310,-6,1323,1519,1551,1526,0,,0,275,256,236,1,1721,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N38443,214,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1915,1910,-5,1925,2100,2130,2109,0,,0,135,119,95,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N77538,213,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1125,1121,-4,1139,1311,1339,1316,0,,0,134,115,92,1,679,,,,,,
2018,1,2,27,2,2018-02-27,UA,19977,UA,N36272,209,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1040,1041,1,1101,1258,1252,1318,0,,0,132,157,117,1,679,0,0,26,0,0,
2018,1,2,26,1,2018-02-26,UA,19977,UA,N73256,2388,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1527,1538,11,1556,1726,1742,1735,0,,0,135,117,90,1,679,,,,,,
