,index,CA,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,date_time,hour,entries_offset,exits_offset,hourly_entries,hourly_exits
114200,3988,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,00:00:00,REGULAR,6588048,4211872.0,2018-05-01 00:00:00,0,6588067,4211877.0,19.0,5.0
114201,3989,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,04:00:00,REGULAR,6588067,4211877.0,2018-05-01 04:00:00,4,6588102,4212009.0,35.0,132.0
114202,3990,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,08:00:00,REGULAR,6588102,4212009.0,2018-05-01 08:00:00,8,6588360,4212597.0,258.0,588.0
114203,3991,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,12:00:00,REGULAR,6588360,4212597.0,2018-05-01 12:00:00,12,6588764,4212848.0,404.0,251.0
114204,3992,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,16:00:00,REGULAR,6588764,4212848.0,2018-05-01 16:00:00,16,6589532,4213145.0,768.0,297.0
114205,3993,A030,R083,01-00-00,23 ST,NRW,BMT,05/01/2018,20:00:00,REGULAR,6589532,4213145.0,2018-05-01 20:00:00,20,6589865,4213227.0,333.0,82.0
114206,3994,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,00:00:00,REGULAR,6589865,4213227.0,2018-05-02 00:00:00,0,6589886,4213234.0,21.0,7.0
114207,3995,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,04:00:00,REGULAR,6589886,4213234.0,2018-05-02 04:00:00,4,6589921,4213350.0,35.0,116.0
114208,3996,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,08:00:00,REGULAR,6589921,4213350.0,2018-05-02 08:00:00,8,6590180,4214004.0,259.0,654.0
114209,3997,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,12:00:00,REGULAR,6590180,4214004.0,2018-05-02 12:00:00,12,6590657,4214303.0,477.0,299.0
114210,3998,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,16:00:00,REGULAR,6590657,4214303.0,2018-05-02 16:00:00,16,6591439,4214612.0,782.0,309.0
114211,3999,A030,R083,01-00-00,23 ST,NRW,BMT,05/02/2018,20:00:00,REGULAR,6591439,4214612.0,2018-05-02 20:00:00,20,6591787,4214670.0,348.0,58.0
114212,4000,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,00:00:00,REGULAR,6591787,4214670.0,2018-05-03 00:00:00,0,6591809,4214681.0,22.0,11.0
114213,4001,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,04:00:00,REGULAR,6591809,4214681.0,2018-05-03 04:00:00,4,6591842,4214768.0,33.0,87.0
114214,4002,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,08:00:00,REGULAR,6591842,4214768.0,2018-05-03 08:00:00,8,6592093,4215456.0,251.0,688.0
114215,4003,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,12:00:00,REGULAR,6592093,4215456.0,2018-05-03 12:00:00,12,6592568,4215762.0,475.0,306.0
114216,4004,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,16:00:00,REGULAR,6592568,4215762.0,2018-05-03 16:00:00,16,6593337,4216064.0,769.0,302.0
114217,4005,A030,R083,01-00-00,23 ST,NRW,BMT,05/03/2018,20:00:00,REGULAR,6593337,4216064.0,2018-05-03 20:00:00,20,6593634,4216122.0,297.0,58.0
114218,4006,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,00:00:00,REGULAR,6593634,4216122.0,2018-05-04 00:00:00,0,6593662,4216130.0,28.0,8.0
114219,4007,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,04:00:00,REGULAR,6593662,4216130.0,2018-05-04 04:00:00,4,6593703,4216240.0,41.0,110.0
114220,4008,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,08:00:00,REGULAR,6593703,4216240.0,2018-05-04 08:00:00,8,6593955,4216817.0,252.0,577.0
114221,4009,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,12:00:00,REGULAR,6593955,4216817.0,2018-05-04 12:00:00,12,6594395,4217121.0,440.0,304.0
114222,4010,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,16:00:00,REGULAR,6594395,4217121.0,2018-05-04 16:00:00,16,6595182,4217381.0,787.0,260.0
114223,4011,A030,R083,01-00-00,23 ST,NRW,BMT,05/04/2018,20:00:00,REGULAR,6595182,4217381.0,2018-05-04 20:00:00,20,6595503,4217434.0,321.0,53.0
114224,3945,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,00:00:00,REGULAR,6595503,4217434.0,2018-05-05 00:00:00,0,6595552,4217448.0,49.0,14.0
114225,3946,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,04:00:00,REGULAR,6595552,4217448.0,2018-05-05 04:00:00,4,6595569,4217505.0,17.0,57.0
114226,3947,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,08:00:00,REGULAR,6595569,4217505.0,2018-05-05 08:00:00,8,6595694,4217760.0,125.0,255.0
114227,3948,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,12:00:00,REGULAR,6595694,4217760.0,2018-05-05 12:00:00,12,6596003,4217983.0,309.0,223.0
114228,3949,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,16:00:00,REGULAR,6596003,4217983.0,2018-05-05 16:00:00,16,6596415,4218191.0,412.0,208.0
114229,3950,A030,R083,01-00-00,23 ST,NRW,BMT,05/05/2018,20:00:00,REGULAR,6596415,4218191.0,2018-05-05 20:00:00,20,6596640,4218280.0,225.0,89.0
114230,3951,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,00:00:00,REGULAR,6596640,4218280.0,2018-05-06 00:00:00,0,6596687,4218291.0,47.0,11.0
114231,3952,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,04:00:00,REGULAR,6596687,4218291.0,2018-05-06 04:00:00,4,6596712,4218338.0,25.0,47.0
114232,3953,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,08:00:00,REGULAR,6596712,4218338.0,2018-05-06 08:00:00,8,6596800,4218559.0,88.0,221.0
114233,3954,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,12:00:00,REGULAR,6596800,4218559.0,2018-05-06 12:00:00,12,6597059,4218772.0,259.0,213.0
114234,3955,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,16:00:00,REGULAR,6597059,4218772.0,2018-05-06 16:00:00,16,6597350,4218944.0,291.0,172.0
114235,3956,A030,R083,01-00-00,23 ST,NRW,BMT,05/06/2018,20:00:00,REGULAR,6597350,4218944.0,2018-05-06 20:00:00,20,6597496,4218999.0,146.0,55.0
114236,3957,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,00:00:00,REGULAR,6597496,4218999.0,2018-05-07 00:00:00,0,6597508,4219003.0,12.0,4.0
114237,3958,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,04:00:00,REGULAR,6597508,4219003.0,2018-05-07 04:00:00,4,6597543,4219130.0,35.0,127.0
114238,3959,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,08:00:00,REGULAR,6597543,4219130.0,2018-05-07 08:00:00,8,6597778,4219761.0,235.0,631.0
114239,3960,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,12:00:00,REGULAR,6597778,4219761.0,2018-05-07 12:00:00,12,6598162,4220032.0,384.0,271.0
114240,3961,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,16:00:00,REGULAR,6598162,4220032.0,2018-05-07 16:00:00,16,6598963,4220239.0,801.0,207.0
114241,3962,A030,R083,01-00-00,23 ST,NRW,BMT,05/07/2018,20:00:00,REGULAR,6598963,4220239.0,2018-05-07 20:00:00,20,6599273,4220274.0,310.0,35.0
114242,3963,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,00:00:00,REGULAR,6599273,4220274.0,2018-05-08 00:00:00,0,6599301,4220279.0,28.0,5.0
114243,3964,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,04:00:00,REGULAR,6599301,4220279.0,2018-05-08 04:00:00,4,6599336,4220406.0,35.0,127.0
114244,3965,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,08:00:00,REGULAR,6599336,4220406.0,2018-05-08 08:00:00,8,6599564,4221043.0,228.0,637.0
114245,3966,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,12:00:00,REGULAR,6599564,4221043.0,2018-05-08 12:00:00,12,6599972,4221331.0,408.0,288.0
114246,3967,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,16:00:00,REGULAR,6599972,4221331.0,2018-05-08 16:00:00,16,6600772,4221587.0,800.0,256.0
114247,3968,A030,R083,01-00-00,23 ST,NRW,BMT,05/08/2018,20:00:00,REGULAR,6600772,4221587.0,2018-05-08 20:00:00,20,6601112,4221645.0,340.0,58.0
114248,3969,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,00:00:00,REGULAR,6601112,4221645.0,2018-05-09 00:00:00,0,6601126,4221653.0,14.0,8.0
114249,3970,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,04:00:00,REGULAR,6601126,4221653.0,2018-05-09 04:00:00,4,6601165,4221791.0,39.0,138.0
114250,3971,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,08:00:00,REGULAR,6601165,4221791.0,2018-05-09 08:00:00,8,6601417,4222397.0,252.0,606.0
114251,3972,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,12:00:00,REGULAR,6601417,4222397.0,2018-05-09 12:00:00,12,6601825,4222698.0,408.0,301.0
114252,3973,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,16:00:00,REGULAR,6601825,4222698.0,2018-05-09 16:00:00,16,6602608,4223008.0,783.0,310.0
114253,3974,A030,R083,01-00-00,23 ST,NRW,BMT,05/09/2018,20:00:00,REGULAR,6602608,4223008.0,2018-05-09 20:00:00,20,6602991,4223083.0,383.0,75.0
114254,3975,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,00:00:00,REGULAR,6602991,4223083.0,2018-05-10 00:00:00,0,6603009,4223087.0,18.0,4.0
114255,3976,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,04:00:00,REGULAR,6603009,4223087.0,2018-05-10 04:00:00,4,6603045,4223199.0,36.0,112.0
114256,3977,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,08:00:00,REGULAR,6603045,4223199.0,2018-05-10 08:00:00,8,6603314,4223828.0,269.0,629.0
114257,3978,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,12:00:00,REGULAR,6603314,4223828.0,2018-05-10 12:00:00,12,6603754,4224073.0,440.0,245.0
114258,3979,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,16:00:00,REGULAR,6603754,4224073.0,2018-05-10 16:00:00,16,6604609,4224301.0,855.0,228.0
114259,3980,A030,R083,01-00-00,23 ST,NRW,BMT,05/10/2018,20:00:00,REGULAR,6604609,4224301.0,2018-05-10 20:00:00,20,6604948,4224374.0,339.0,73.0
114260,3981,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,00:00:00,REGULAR,6604948,4224374.0,2018-05-11 00:00:00,0,6604969,4224379.0,21.0,5.0
114261,3982,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,04:00:00,REGULAR,6604969,4224379.0,2018-05-11 04:00:00,4,6605004,4224507.0,35.0,128.0
114262,3983,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,08:00:00,REGULAR,6605004,4224507.0,2018-05-11 08:00:00,8,6605235,4225054.0,231.0,547.0
114263,3984,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,12:00:00,REGULAR,6605235,4225054.0,2018-05-11 12:00:00,12,6605700,4225308.0,465.0,254.0
114264,3985,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,16:00:00,REGULAR,6605700,4225308.0,2018-05-11 16:00:00,16,6606414,4225613.0,714.0,305.0
114265,3986,A030,R083,01-00-00,23 ST,NRW,BMT,05/11/2018,20:00:00,REGULAR,6606414,4225613.0,2018-05-11 20:00:00,20,6606741,4225699.0,327.0,86.0
114266,3980,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,00:00:00,REGULAR,6606741,4225699.0,2018-05-12 00:00:00,0,6606799,4225715.0,58.0,16.0
114267,3981,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,04:00:00,REGULAR,6606799,4225715.0,2018-05-12 04:00:00,4,6606820,4225779.0,21.0,64.0
114268,3982,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,08:00:00,REGULAR,6606820,4225779.0,2018-05-12 08:00:00,8,6606966,4226044.0,146.0,265.0
114269,3983,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,12:00:00,REGULAR,6606966,4226044.0,2018-05-12 12:00:00,12,6607363,4226326.0,397.0,282.0
114270,3984,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,16:00:00,REGULAR,6607363,4226326.0,2018-05-12 16:00:00,16,6607852,4226555.0,489.0,229.0
114271,3985,A030,R083,01-00-00,23 ST,NRW,BMT,05/12/2018,20:00:00,REGULAR,6607852,4226555.0,2018-05-12 20:00:00,20,6608109,4226630.0,257.0,75.0
114272,3986,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,00:00:00,REGULAR,6608109,4226630.0,2018-05-13 00:00:00,0,6608160,4226641.0,51.0,11.0
114273,3987,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,04:00:00,REGULAR,6608160,4226641.0,2018-05-13 04:00:00,4,6608180,4226673.0,20.0,32.0
114274,3988,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,08:00:00,REGULAR,6608180,4226673.0,2018-05-13 08:00:00,8,6608277,4226900.0,97.0,227.0
114275,3989,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,12:00:00,REGULAR,6608277,4226900.0,2018-05-13 12:00:00,12,6608589,4227184.0,312.0,284.0
114276,3990,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,16:00:00,REGULAR,6608589,4227184.0,2018-05-13 16:00:00,16,6608919,4227320.0,330.0,136.0
114277,3991,A030,R083,01-00-00,23 ST,NRW,BMT,05/13/2018,20:00:00,REGULAR,6608919,4227320.0,2018-05-13 20:00:00,20,6609054,4227366.0,135.0,46.0
114278,3992,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,00:00:00,REGULAR,6609054,4227366.0,2018-05-14 00:00:00,0,6609061,4227368.0,7.0,2.0
114279,3993,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,04:00:00,REGULAR,6609061,4227368.0,2018-05-14 04:00:00,4,6609101,4227486.0,40.0,118.0
114280,3994,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,08:00:00,REGULAR,6609101,4227486.0,2018-05-14 08:00:00,8,6609349,4228100.0,248.0,614.0
114281,3995,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,12:00:00,REGULAR,6609349,4228100.0,2018-05-14 12:00:00,12,6609737,4228404.0,388.0,304.0
114282,3996,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,16:00:00,REGULAR,6609737,4228404.0,2018-05-14 16:00:00,16,6610485,4228683.0,748.0,279.0
114283,3997,A030,R083,01-00-00,23 ST,NRW,BMT,05/14/2018,20:00:00,REGULAR,6610485,4228683.0,2018-05-14 20:00:00,20,6610800,4228756.0,315.0,73.0
114284,3998,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,00:00:00,REGULAR,6610800,4228756.0,2018-05-15 00:00:00,0,6610817,4228760.0,17.0,4.0
114285,3999,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,04:00:00,REGULAR,6610817,4228760.0,2018-05-15 04:00:00,4,6610855,4228897.0,38.0,137.0
114286,4000,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,08:00:00,REGULAR,6610855,4228897.0,2018-05-15 08:00:00,8,6611075,4229559.0,220.0,662.0
114287,4001,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,12:00:00,REGULAR,6611075,4229559.0,2018-05-15 12:00:00,12,6611466,4229803.0,391.0,244.0
114288,4002,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,16:00:00,REGULAR,6611466,4229803.0,2018-05-15 16:00:00,16,6612337,4230031.0,871.0,228.0
114289,4003,A030,R083,01-00-00,23 ST,NRW,BMT,05/15/2018,20:00:00,REGULAR,6612337,4230031.0,2018-05-15 20:00:00,20,6612679,4230100.0,342.0,69.0
114290,4004,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,00:00:00,REGULAR,6612679,4230100.0,2018-05-16 00:00:00,0,6612703,4230107.0,24.0,7.0
114291,4005,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,04:00:00,REGULAR,6612703,4230107.0,2018-05-16 04:00:00,4,6612735,4230229.0,32.0,122.0
114292,4006,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,08:00:00,REGULAR,6612735,4230229.0,2018-05-16 08:00:00,8,6613004,4230875.0,269.0,646.0
114293,4007,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,12:00:00,REGULAR,6613004,4230875.0,2018-05-16 12:00:00,12,6613436,4231160.0,432.0,285.0
114294,4008,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,16:00:00,REGULAR,6613436,4231160.0,2018-05-16 16:00:00,16,6614283,4231424.0,847.0,264.0
114295,4009,A030,R083,01-00-00,23 ST,NRW,BMT,05/16/2018,20:00:00,REGULAR,6614283,4231424.0,2018-05-16 20:00:00,20,6614649,4231477.0,366.0,53.0
114296,4010,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,00:00:00,REGULAR,6614649,4231477.0,2018-05-17 00:00:00,0,6614678,4231482.0,29.0,5.0
114297,4011,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,04:00:00,REGULAR,6614678,4231482.0,2018-05-17 04:00:00,4,6614717,4231590.0,39.0,108.0
114298,4012,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,08:00:00,REGULAR,6614717,4231590.0,2018-05-17 08:00:00,8,6614983,4232207.0,266.0,617.0
114299,4013,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,12:00:00,REGULAR,6614983,4232207.0,2018-05-17 12:00:00,12,6615406,4232487.0,423.0,280.0
114300,4014,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,16:00:00,REGULAR,6615406,4232487.0,2018-05-17 16:00:00,16,6616204,4232754.0,798.0,267.0
114301,4015,A030,R083,01-00-00,23 ST,NRW,BMT,05/17/2018,20:00:00,REGULAR,6616204,4232754.0,2018-05-17 20:00:00,20,6616540,4232816.0,336.0,62.0
114302,4016,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,00:00:00,REGULAR,6616540,4232816.0,2018-05-18 00:00:00,0,6616579,4232834.0,39.0,18.0
114303,4017,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,04:00:00,REGULAR,6616579,4232834.0,2018-05-18 04:00:00,4,6616609,4232943.0,30.0,109.0
114304,4018,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,08:00:00,REGULAR,6616609,4232943.0,2018-05-18 08:00:00,8,6616841,4233505.0,232.0,562.0
114305,4019,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,12:00:00,REGULAR,6616841,4233505.0,2018-05-18 12:00:00,12,6617289,4233756.0,448.0,251.0
114306,4020,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,16:00:00,REGULAR,6617289,4233756.0,2018-05-18 16:00:00,16,6618036,4233995.0,747.0,239.0
114307,4021,A030,R083,01-00-00,23 ST,NRW,BMT,05/18/2018,20:00:00,REGULAR,6618036,4233995.0,2018-05-18 20:00:00,20,6618432,4234071.0,396.0,76.0
114308,3954,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,00:00:00,REGULAR,6618432,4234071.0,2018-05-19 00:00:00,0,6618479,4234081.0,47.0,10.0
114309,3955,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,04:00:00,REGULAR,6618479,4234081.0,2018-05-19 04:00:00,4,6618504,4234126.0,25.0,45.0
114310,3956,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,08:00:00,REGULAR,6618504,4234126.0,2018-05-19 08:00:00,8,6618641,4234428.0,137.0,302.0
114311,3957,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,12:00:00,REGULAR,6618641,4234428.0,2018-05-19 12:00:00,12,6619035,4234676.0,394.0,248.0
114312,3958,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,16:00:00,REGULAR,6619035,4234676.0,2018-05-19 16:00:00,16,6619490,4234849.0,455.0,173.0
114313,3959,A030,R083,01-00-00,23 ST,NRW,BMT,05/19/2018,20:00:00,REGULAR,6619490,4234849.0,2018-05-19 20:00:00,20,6619719,4234970.0,229.0,121.0
114314,3960,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,00:00:00,REGULAR,6619719,4234970.0,2018-05-20 00:00:00,0,6619771,4234987.0,52.0,17.0
114315,3961,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,04:00:00,REGULAR,6619771,4234987.0,2018-05-20 04:00:00,4,6619787,4235037.0,16.0,50.0
114316,3962,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,08:00:00,REGULAR,6619787,4235037.0,2018-05-20 08:00:00,8,6619904,4235255.0,117.0,218.0
114317,3963,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,12:00:00,REGULAR,6619904,4235255.0,2018-05-20 12:00:00,12,6620249,4235501.0,345.0,246.0
114318,3964,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,16:00:00,REGULAR,6620249,4235501.0,2018-05-20 16:00:00,16,6620671,4235700.0,422.0,199.0
114319,3965,A030,R083,01-00-00,23 ST,NRW,BMT,05/20/2018,20:00:00,REGULAR,6620671,4235700.0,2018-05-20 20:00:00,20,6620875,4235782.0,204.0,82.0
114320,3966,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,00:00:00,REGULAR,6620875,4235782.0,2018-05-21 00:00:00,0,6620893,4235787.0,18.0,5.0
114321,3967,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,04:00:00,REGULAR,6620893,4235787.0,2018-05-21 04:00:00,4,6620932,4235905.0,39.0,118.0
114322,3968,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,08:00:00,REGULAR,6620932,4235905.0,2018-05-21 08:00:00,8,6621156,4236397.0,224.0,492.0
114323,3969,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,12:00:00,REGULAR,6621156,4236397.0,2018-05-21 12:00:00,12,6621568,4236660.0,412.0,263.0
114324,3970,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,16:00:00,REGULAR,6621568,4236660.0,2018-05-21 16:00:00,16,6622299,4236934.0,731.0,274.0
114325,3971,A030,R083,01-00-00,23 ST,NRW,BMT,05/21/2018,20:00:00,REGULAR,6622299,4236934.0,2018-05-21 20:00:00,20,6622586,4236989.0,287.0,55.0
114326,3972,A030,R083,01-00-00,23 ST,NRW,BMT,05/22/2018,00:00:00,REGULAR,6622586,4236989.0,2018-05-22 00:00:00,0,6622606,4236997.0,20.0,8.0
114327,3973,A030,R083,01-00-00,23 ST,NRW,BMT,05/22/2018,04:00:00,REGULAR,6622606,4236997.0,2018-05-22 04:00:00,4,6622646,4237114.0,40.0,117.0
114328,3974,A030,R083,01-00-00,23 ST,NRW,BMT,05/22/2018,08:00:00,REGULAR,6622646,4237114.0,2018-05-22 08:00:00,8,6622894,4237733.0,248.0,619.0
114329,3975,A030,R083,01-00-00,23 ST,NRW,BMT,05/22/2018,12:00:00,REGULAR,6622894,4237733.0,2018-05-22 12:00:00,12,6623335,4238030.0,441.0,297.0
